Squadron,Last Name,First Name,Rank,AFCS,Supervisor,Date Enter Service,Date of Birth,EPR Score,Commander,OPR Pass/Fail,SSN 
100 AMXS,Fritz,Cleveland,E1,2AF5x1,The Dude,1/24/2004,7/1/1986,5,0,0,517800155
100 AMXS,Austin,Leannÿ,E2,2AF5x1,The Dude,1/24/2005,7/2/1986,4,0,0,230643081
100 AMXS,Juarez,Pearlieÿ,E3,2AF5x1,The Dude,1/24/2006,7/3/1986,5,0,0,628461845
100 AMXS,Kim,Bridgetteÿ,E4,2AF5x1,The Dude,1/24/2007,7/4/1986,1,0,0,460036299
100 AMXS,Spence,Zane,E5,2AF5x1,The Dude,1/24/2008,7/5/1986,4,0,0,136429462
100 AMXS,Gomez,Lupeÿ,E6,2AF5x1,The Dude,1/24/2009,7/6/1986,2,0,0,217759549
100 AMXS,Mejia,Masonÿ,E7,2AF5x1,The Dude,1/24/2010,7/7/1986,3,0,0,639401580
100 AMXS,Doyle,Rockyÿ,E8,2AF5x1,The Dude,1/24/2011,7/8/1986,4,0,0,373332252
100 AMXS,Rodgers,Loriÿ,E9,2AF5x1,The Dude,1/24/2012,7/9/1986,5,0,0,508644979
100 AMXS,Mcgrath,Willieÿ,O1,2AFT1A,The Dude,1/24/2013,7/10/1986,0,0,1,680129318
100 AMXS,Duke,Shelleyÿ,O2,2AFT1A,The Dude,1/24/2014,7/11/1986,0,0,1,501929205
100 AMXS,Keith,Pennyÿ,O3,2AFT1A,The Dude,1/24/2015,7/12/1986,0,0,1,430101339
100 AMXS,Simmons,Christaÿ,O4,2AFT1A,The Dude,1/24/2016,7/13/1986,0,0,1,348189341
100 AMXS,Golden,Elijahÿ,O5,2AFT1A,The Dude,1/24/2017,7/14/1986,0,0,1,578068215
100 AMXS,Goodman,Lilyÿ,O6,2AFT1A,The Dude,1/24/2018,7/15/1986,0,0,1,692102443
100 AMXS,Cox,Noreen,O7,2AFT1A,The Dude,1/24/2019,7/16/1986,0,1,1,768841198
100 MOS,Mahoney,Majorÿ,O8,2AFT1A,The Dude,1/24/2020,7/17/1986,0,0,1,529681807
